CODIGO_DA_IES,NOME_DA_IES,SIGLA,CATEGORIA_DA_IES,COMUNITARIA,CONFESSIONAL,FILANTROPICA,ORGANIZACAO_ACADEMICA,CODIGO_MUNICIPIO_IBGE,MUNICIPIO,UF,SITUACAO_IES
21995,Faculdade de Tecnologia Senac Curitiba,,Privada,N,N,N,Faculdade,000000004106902,Curitiba,PR,Ativa
1768,FACULDADE REGIONAL SERRANA,FUNPAC,Privada,N,N,N,Faculdade,000000003205069,Venda Nova do Imigrante,ES,Extinta
5701,UNIVERSIDADE DO ESTADO DO AMAPÁ,UEAP,Pública,N,N,N,Universidade,000000001600303,Macapá,AP,Ativa
23261,Faculdade São Judas de São Bernardo do Campo,,Privada,N,N,N,Faculdade,000000003548708,São Bernardo do Campo,SP,Ativa
4250,FACULDADE DE CIÊNCIAS GERENCIAIS ALVES FORTES (JUIZ DE FORA),FACE ALFOR JF,Privada,N,N,N,Faculdade,000000003136702,Juiz de Fora,MG,Extinta
626,CENTRO UNIVERSITÁRIO CENECISTA DE OSÓRIO,UNICNEC,Privada,S,N,N,Centro Universitário,000000004313508,Osório,RS,Ativa
2428,FACULDADE DE CIÊNCIAS E TECNOLOGIAS DE CAMPOS GERAIS,FACICA,Privada,N,N,N,Faculdade,000000003111606,Campos Gerais,MG,Ativa
1419,CENTRO UNIVERSITÁRIO CURITIBA,UNICURITIBA,Privada,N,N,N,Centro Universitário,000000004106902,Curitiba,PR,Ativa
2538,FACULDADE VENDA NOVA DO IMIGRANTE,FAVENI,Privada,N,N,N,Faculdade,000000003205069,Venda Nova do Imigrante,ES,Ativa
275,UNIVERSIDADE DO VALE DO PARAÍBA,UNIVAP,Privada,S,N,N,Universidade,000000003549904,São José dos Campos,SP,Ativa
14123,Faculdade Presidente Antônio Carlos de Bom Sucesso,FUNEES Bom Sucesso,Privada,N,N,N,Faculdade,000000003108008,Bom Sucesso,MG,Extinta
22760,Faculdade Fleming Cerquilho,Fac Cerquilho,Privada,N,N,N,Faculdade,000000003511508,Cerquilho,SP,Ativa
3188,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO NORTE DE MINAS GERAIS",IFNMG,Pública,N,N,N,"Instituto Federal de Educação, Ciência e Tecnologia",000000003143302,Montes Claros,MG,Ativa
25167,FACULDADE SIGMA,SIGMA EAD,Privada,N,N,N,Faculdade,000000002912103,Ibicaraí,BA,Ativa
17952,Faculdade de Tecnologia de Jacareí,FATEC Jacareí,Pública,N,N,N,Faculdade,000000003524402,Jacareí,SP,Ativa
660,FACULDADE METODISTA DO SUL PAULISTA,FMSP,Privada,N,N,N,Faculdade,000000003522406,Itapeva,SP,Extinta
1244,Centro Universitário Multivix Vitória,null,Privada,N,N,N,Centro Universitário,000000003205309,Vitória,ES,Ativa
1494,Centro Universitário Salesiano,UniSales,Privada,N,N,N,Centro Universitário,000000003205309,Vitória,ES,Ativa
21877,FACULDADE INTEGRADA DA AMAZÔNIA,FINAMA,Privada,N,N,N,Faculdade,000000001501402,Belém,PA,Ativa
1253,FACULDADE METODISTA GRANBERY,FMG,Privada,S,N,N,Faculdade,000000003136702,Juiz de Fora,MG,Ativa
